日期,Alyssa__消息数,明天不散步_消息数,Alyssa__情感分bert,明天不散步_情感分bert,Alyssa__平均反应秒数,明天不散步_平均反应秒数,Alyssa__平均情感分,明天不散步_平均情感分
2025-02-14 00:00:00,134,124,0.371128922,0.40632616,77.015625,426.25,0.5820321,0.52835334
2025-02-15 00:00:00,218,203,0.433719116,0.45484352,150.1315789,163.4385965,0.621692672,0.59409654
2025-02-16 00:00:00,146,137,0.416705856,0.419422234,101.3289474,394.5974026,0.591772247,0.559732108
2025-02-17 00:00:00,90,80,0.473682295,0.493346179,536.2142857,188.7142857,0.57805221,0.607185155
2025-02-18 00:00:00,73,65,0.456330568,0.481646484,528.3235294,512.5833333,0.583276965,0.520679841
2025-02-19 00:00:00,228,225,0.47651745,0.515731442,139.3278689,89.87804878,0.593698002,0.620185947
2025-02-20 00:00:00,66,62,0.435036389,0.439778403,351.9375,204.90625,0.557317992,0.549129631
2025-02-21 00:00:00,262,232,0.429854655,0.441259883,72.79032258,252.76,0.58535967,0.605084282
2025-02-22 00:00:00,242,223,0.394371183,0.459406577,48.93495935,178.8943089,0.557723279,0.616325845
2025-02-23 00:00:00,112,106,0.398585939,0.446096035,308.6296296,157.5090909,0.50167605,0.572534644
2025-02-24 00:00:00,159,162,0.386899241,0.462786159,142,212.2469136,0.540638668,0.566474032
2025-02-25 00:00:00,49,43,0.338327779,0.447315023,156.1052632,142.25,0.554342278,0.674771471
2025-02-26 00:00:00,130,100,0.454198117,0.42879742,322.4666667,103.6393443,0.607792774,0.607173554
2025-02-27 00:00:00,173,138,0.461469224,0.501482999,266.8235294,200.9767442,0.577223309,0.640997426
2025-02-28 00:00:00,96,84,0.375408008,0.425896829,239.1086957,179.125,0.593540112,0.611648274
2025-03-01 00:00:00,116,129,0.377340827,0.417052754,96.5483871,102.9333333,0.568324524,0.58310252
2025-03-02 00:00:00,208,212,0.35600908,0.44476083,146.245283,104.4166667,0.566439435,0.568692002
2025-03-03 00:00:00,200,168,0.38861287,0.402566153,158.3023256,345.6321839,0.589908967,0.570722359
2025-03-04 00:00:00,143,133,0.425704233,0.419988423,280.0555556,163.8472222,0.608827796,0.549789639
2025-03-05 00:00:00,129,135,0.456918358,0.504300632,67.8030303,144.5,0.533318578,0.561004026
2025-03-06 00:00:00,133,119,0.424109483,0.468962075,173.6176471,48,0.578762668,0.620283827
2025-03-07 00:00:00,140,137,0.443762441,0.452418873,76.84848485,146.0151515,0.545934417,0.568767527
2025-03-08 00:00:00,73,77,0.396795897,0.439263159,37.19047619,345.5777778,0.526836932,0.568990958
2025-03-09 00:00:00,105,109,0.437759236,0.479686888,225.0181818,181.6296296,0.547799342,0.645707527
2025-03-10 00:00:00,79,75,0.498062256,0.538599663,387.5,254.8292683,0.634676036,0.60451071
2025-03-11 00:00:00,182,193,0.421900184,0.488551753,134.4591837,71.43434343,0.545158543,0.603692336
2025-03-12 00:00:00,197,185,0.414577436,0.455318185,164.3,83.75757576,0.594446849,0.57014788
2025-03-13 00:00:00,210,174,0.386778621,0.460735562,185.2247191,156.5888889,0.579907208,0.581033538
2025-03-14 00:00:00,114,109,0.338522294,0.391079426,295.7924528,413.1296296,0.510981634,0.557100245
2025-03-15 00:00:00,56,64,0.319876044,0.544702738,126.5769231,790.1851852,0.507343952,0.615854309
2025-03-16 00:00:00,115,102,0.403017403,0.521308667,429.9122807,195.2280702,0.519157782,0.608725206
2025-03-17 00:00:00,88,75,0.398829674,0.522723502,353.3529412,224.1176471,0.577778579,0.644173139
2025-03-18 00:00:00,188,148,0.470317211,0.463891716,108.6835443,118.7341772,0.567549486,0.593522806
2025-03-19 00:00:00,49,48,0.344124936,0.47914406,68.375,55.5,0.532509074,0.590102144
2025-03-20 00:00:00,98,85,0.472990357,0.508634417,264.3636364,512.75,0.554014297,0.635761548
2025-03-21 00:00:00,77,76,0.434481139,0.549777738,485.6129032,489.34375,0.567615645,0.624119953
2025-03-22 00:00:00,144,148,0.325513038,0.436772847,324.2089552,82.26470588,0.526700523,0.545094697
2025-03-23 00:00:00,187,195,0.445954488,0.450910208,53.80645161,38.57446809,0.55541396,0.563155591
2025-03-24 00:00:00,129,111,0.383094136,0.509221474,256.95,312.0327869,0.565113255,0.603592704
2025-03-25 00:00:00,138,123,0.38727425,0.411982944,349.75,151.1641791,0.519723193,0.512362196
2025-03-26 00:00:00,283,230,0.423350044,0.48471041,144.4042553,74.54225352,0.565420375,0.58895089
2025-03-27 00:00:00,147,141,0.395455612,0.432521109,249.5076923,57.49206349,0.533106168,0.559627717
2025-03-28 00:00:00,160,182,0.36668249,0.412909339,201.8095238,126.9879518,0.531526875,0.587581666
2025-03-29 00:00:00,120,98,0.375663473,0.467765615,264.5471698,41.92307692,0.539157147,0.564709783
2025-03-30 00:00:00,204,201,0.387908287,0.453440122,147.9207921,137.0784314,0.570991844,0.587652068
2025-03-31 00:00:00,136,117,0.374009045,0.5070289,138.8208955,462.1617647,0.551487074,0.635022319
2025-04-01 00:00:00,336,286,0.35678414,0.460852779,110.5,70.35625,0.555461292,0.593201016
2025-04-02 00:00:00,242,193,0.367938735,0.444856125,99.21495327,54.58490566,0.503812016,0.583167308
2025-04-03 00:00:00,284,276,0.431504343,0.497232508,169.0743243,81.62837838,0.586477723,0.610398666
2025-04-04 00:00:00,143,140,0.422991445,0.582993139,70.85526316,324.0131579,0.510587415,0.596766875
2025-04-05 00:00:00,206,186,0.364025177,0.47815397,151.8383838,120.4343434,0.539962019,0.596461354
2025-04-06 00:00:00,273,236,0.410221847,0.490068454,137.0703125,120.7265625,0.557769019,0.626758347
2025-04-07 00:00:00,237,214,0.37450636,0.475783343,180.4210526,235.4867257,0.524003705,0.583664245
2025-04-08 00:00:00,308,235,0.392136567,0.512688484,143.0808824,98.16176471,0.544454945,0.600201338
2025-04-09 00:00:00,69,51,0.415437502,0.464351591,323.5384615,317.6666667,0.554821356,0.537019149
2025-04-10 00:00:00,187,161,0.409225626,0.467148204,156.1153846,167.8101266,0.55162225,0.567279216
2025-04-11 00:00:00,20,16,0.502275967,0.483548945,299.8181818,33.9,0.533899754,0.640046046
2025-04-12 00:00:00,28,27,0.332104336,0.30947289,130.7272727,24.2,0.513346807,0.433482815
2025-04-13 00:00:00,68,59,0.391785907,0.468007245,303.7741935,291.6451613,0.493557371,0.523107366
2025-04-14 00:00:00,138,104,0.395883384,0.399855824,454,309.8644068,0.509781014,0.533402746
2025-04-15 00:00:00,164,154,0.439653408,0.441171024,189.5974026,134.8701299,0.537565879,0.541719431
2025-04-16 00:00:00,143,138,0.384522102,0.449811764,261.96875,113.8,0.597285691,0.567161011
2025-04-17 00:00:00,148,160,0.423827853,0.488604202,220.8378378,78.06849315,0.584739617,0.599926537
2025-04-18 00:00:00,51,60,0.363154024,0.407143907,115.2580645,180.1612903,0.557062958,0.507029342
2025-04-19 00:00:00,189,181,0.365103255,0.514192006,205.483871,116.8586957,0.570551942,0.625737857
2025-04-20 00:00:00,244,208,0.38720703,0.424703507,176.4054054,72.53571429,0.520743123,0.534465046
2025-04-21 00:00:00,191,171,0.355076713,0.469579223,154.7078652,326.6888889,0.530812817,0.594269441
2025-04-22 00:00:00,217,184,0.405399459,0.491492678,161.2553191,168.106383,0.541551402,0.551266689
2025-04-23 00:00:00,151,172,0.363226434,0.510703787,119.2763158,233.6315789,0.559103861,0.624989747
2025-04-24 00:00:00,213,233,0.401596888,0.453656347,137.5357143,103.5357143,0.538925291,0.57462206
2025-04-25 00:00:00,105,101,0.394716007,0.444002094,370.7037037,385.5185185,0.544612421,0.619362008
2025-04-26 00:00:00,163,177,0.283448059,0.401185473,280.494382,90.72222222,0.468724651,0.525621206
2025-04-27 00:00:00,218,211,0.430897623,0.478375102,188.7714286,142.7307692,0.588946562,0.596819232
2025-04-28 00:00:00,139,156,0.381617049,0.468457224,130.1643836,120.3378378,0.554586765,0.61255909
2025-04-29 00:00:00,136,140,0.331645962,0.402899177,363.328125,120.1587302,0.500084627,0.503880805
2025-04-30 00:00:00,76,81,0.392470549,0.470252788,481.1463415,228.0243902,0.558693298,0.632659801
2025-05-01 00:00:00,91,86,0.361670308,0.466436961,429.7,185.5853659,0.500549305,0.639892242
2025-05-02 00:00:00,50,57,0.290308282,0.350853929,247.5238095,475.952381,0.429427592,0.49357062
2025-05-03 00:00:00,58,50,0.27069451,0.480209322,608.05,942.8636364,0.496434404,0.569376276
2025-05-04 00:00:00,110,93,0.369871733,0.494232581,216.9375,332.7021277,0.474741881,0.618603504
2025-05-05 00:00:00,162,171,0.309741378,0.435868761,125.5189873,55.53164557,0.528909287,0.549207377
2025-05-06 00:00:00,180,177,0.359066922,0.450127053,190.7529412,190.255814,0.528868022,0.568657771
2025-05-07 00:00:00,145,131,0.384161349,0.498718762,148,284.6478873,0.547381595,0.596531037
2025-05-08 00:00:00,189,170,0.41310525,0.476238922,232.3809524,143.4578313,0.535372755,0.583685186
2025-05-09 00:00:00,127,130,0.385276243,0.485621563,304.8103448,371,0.571963792,0.630128733
2025-05-10 00:00:00,198,188,0.394118774,0.514197047,254.8139535,115.6627907,0.565833246,0.61767021
2025-05-11 00:00:00,173,216,0.421272063,0.493207262,91.04301075,98.13978495,0.564063909,0.628997054
2025-05-12 00:00:00,249,275,0.42177936,0.529313348,159.9830508,96.39830508,0.564245941,0.651179543
2025-05-13 00:00:00,169,196,0.386791669,0.50432111,107.2840909,148.0795455,0.559260214,0.635121949
2025-05-14 00:00:00,209,191,0.376723041,0.438020584,263.9175258,43.24210526,0.539280731,0.573847513
2025-05-15 00:00:00,264,275,0.403953499,0.475032892,114.5419847,163.9545455,0.56493474,0.603768657
2025-05-16 00:00:00,48,56,0.3672818,0.42824746,491.5,37.32,0.461652752,0.557164206
2025-05-17 00:00:00,156,160,0.413832132,0.457339569,60.8630137,39.19444444,0.588775919,0.628748567
2025-05-18 00:00:00,366,332,0.401780231,0.412617174,148.3502825,79.71910112,0.557859829,0.575702655
2025-05-19 00:00:00,321,327,0.35150958,0.387392044,151.3870968,108.3397436,0.534255887,0.529716832
2025-05-20 00:00:00,226,210,0.374520502,0.429651308,110.3396226,146.6571429,0.535004328,0.540998536
2025-05-21 00:00:00,180,181,0.403928115,0.477350942,254.7808219,173.9166667,0.558455245,0.553802252
2025-05-22 00:00:00,225,212,0.416693358,0.469797193,215.5445545,210.8118812,0.559741972,0.560676378
2025-05-23 00:00:00,88,85,0.415940248,0.55964062,228.4571429,111.8108108,0.522011286,0.636907564
2025-05-24 00:00:00,138,127,0.375911928,0.491796512,201.5538462,170.90625,0.513889441,0.523108402
2025-05-25 00:00:00,149,145,0.383133928,0.419980896,147.5606061,214.4307692,0.502971084,0.543569093
2025-05-26 00:00:00,216,228,0.36330596,0.437183569,91.16504854,219.5436893,0.529820285,0.552843814
2025-05-27 00:00:00,341,301,0.351021452,0.473339217,81.13907285,47.00653595,0.51525302,0.558743037
2025-05-28 00:00:00,164,159,0.393583768,0.482493616,278.7777778,54.52054795,0.559944565,0.587894052
2025-05-29 00:00:00,101,77,0.390865931,0.529245516,574.6,204.8974359,0.520872823,0.531120548
2025-05-30 00:00:00,86,96,0.44642429,0.400870656,317.6346154,450.8823529,0.509306509,0.484383145
2025-05-31 00:00:00,199,211,0.376585266,0.434524914,228.6976744,84.55294118,0.545191925,0.5463224
2025-06-01 00:00:00,390,306,0.363249512,0.463946264,49.86986301,119.1904762,0.532303485,0.586447408
2025-06-02 00:00:00,93,90,0.379546233,0.569032393,474.3181818,49.97674419,0.515339268,0.624739696
2025-06-03 00:00:00,89,80,0.35259692,0.525607817,341.3421053,258.6153846,0.51836477,0.527955667
2025-06-04 00:00:00,148,156,0.380859049,0.438963624,343.7794118,139.2985075,0.604115859,0.562990268
2025-06-05 00:00:00,156,140,0.438185635,0.491797201,229.8382353,420.0147059,0.561581501,0.61677318
2025-06-06 00:00:00,137,114,0.442290201,0.512591488,295.8076923,123.1296296,0.576623853,0.596458916
2025-06-07 00:00:00,82,78,0.391288785,0.48022527,231.7878788,108.0909091,0.535221603,0.5791659
2025-06-08 00:00:00,52,45,0.373758503,0.43593221,350.4583333,610.173913,0.504000775,0.550524147
2025-06-09 00:00:00,92,79,0.51294507,0.559414788,745.5945946,304.9230769,0.521242542,0.653897988
2025-06-10 00:00:00,143,125,0.415572744,0.420120465,146.2333333,208.1694915,0.530404737,0.557316508
2025-06-11 00:00:00,309,274,0.368409744,0.459993364,222.8307692,79.26153846,0.539608475,0.575838509
2025-06-12 00:00:00,128,134,0.386009721,0.457660348,293.625,276.5230769,0.500372774,0.507603163
2025-06-13 00:00:00,127,86,0.413592199,0.441237432,215.08,282.8039216,0.504410135,0.59072619
2025-06-14 00:00:00,80,62,0.422492863,0.437977987,150.0689655,413.4666667,0.560069548,0.543876219
2025-06-15 00:00:00,45,32,0.391371321,0.510372582,897.2352941,288.3157895,0.452849205,0.518861684
2025-06-16 00:00:00,79,60,0.325448256,0.400723876,1171.357143,584.8148148,0.54109031,0.562843341
2025-06-17 00:00:00,126,100,0.361454229,0.481447503,353,269.7708333,0.541934623,0.573503567
2025-06-18 00:00:00,69,58,0.435558105,0.449272208,508.962963,326.3461538,0.533098127,0.533428043
2025-06-19 00:00:00,22,19,0.448023176,0.67764642,1146,842.375,0.500340855,0.547036342
2025-06-20 00:00:00,162,130,0.398215185,0.506307319,494.7,104.1714286,0.575834448,0.619810347
2025-06-21 00:00:00,105,94,0.475714516,0.555802351,560.7857143,119.3255814,0.637638528,0.632146504
2025-06-22 00:00:00,79,81,0.278642753,0.49193934,710.2,259.5263158,0.464187776,0.60228315
2025-06-23 00:00:00,163,147,0.353795071,0.484084492,238.0645161,208.46875,0.529455387,0.615308406
2025-06-24 00:00:00,113,94,0.392734103,0.489564482,682.9111111,44.54545455,0.508534075,0.576953531
2025-06-25 00:00:00,107,94,0.440983639,0.487303363,453.05,120.55,0.571393567,0.52038829
2025-06-26 00:00:00,166,165,0.421285131,0.490675213,150.5542169,42.8452381,0.563039403,0.578376774
2025-06-27 00:00:00,110,101,0.40142825,0.500539558,456.52,183.0833333,0.540096672,0.596005221
2025-06-28 00:00:00,59,43,0.285988576,0.414442812,162,338.2857143,0.539326817,0.630705973
2025-06-29 00:00:00,145,120,0.400891875,0.52535399,383.4237288,145.440678,0.558994048,0.590332586
2025-06-30 00:00:00,195,139,0.446622859,0.500133295,439.4342105,70.53333333,0.578150086,0.607540411
2025-07-01 00:00:00,177,141,0.316555039,0.506763657,336.4246575,135.8513514,0.531141619,0.584696114
2025-07-02 00:00:00,201,161,0.391929783,0.475876543,274.8169014,42.88732394,0.536508565,0.539185398
2025-07-03 00:00:00,291,277,0.452688893,0.473678656,115.5481481,143.7925926,0.54980198,0.566745144
2025-07-04 00:00:00,243,225,0.421161148,0.439335592,142.2352941,125.6470588,0.595474715,0.602094877
2025-07-05 00:00:00,217,171,0.410231701,0.43632276,80.38297872,118.8421053,0.565485974,0.57567579
2025-07-06 00:00:00,194,158,0.419284771,0.43545337,492.1780822,127.7638889,0.521267281,0.580719048
2025-07-07 00:00:00,312,259,0.400301111,0.460160173,183.0406504,114.176,0.573607545,0.548456687
2025-07-08 00:00:00,262,195,0.413536273,0.485697736,205.827957,118.6666667,0.546845881,0.576594071
